"X"	"Y"	"Yield"
582386.739234966	5953859.10566559	1.52073966543559
582400.429786073	5953868.50358628	0
582393.287203547	5953876.84663411	2.56606867926498
582397.379200601	5953871.27440814	0
582400.474586323	5953884.02535903	1.12609660743443
582386.607697362	5953843.3908803	0.565505092687876
582389.365719579	5953848.26786404	0
582395.154541057	5953863.96584001	0
582396.592394578	5953867.60342098	0
582399.280239547	5953875.47487331	0
582400.372513667	5953879.71690413	0.0263215281131545
582400.076120196	5953883.83324957	0.535008284219722
582395.082913524	5953891.11948565	2.18037513692571
582387.543194793	5953832.26005634	2.76339032437566
582392.712292463	5953860.36259685	1.21441109021639
582393.228536315	5953888.22266774	2.81697651450386
582392.336339128	5953887.53868069	1.1112391090876
582395.824388495	5953832.37861708	0
582396.928981724	5953824.03185829	2.94619141304173
582385.359757499	5953813.30491377	3.07707833842003
582385.764598591	5953804.98010316	3.57201074256228
582389.814676446	5953809.95344459	3.15519992428123
582395.53815354	5953817.81918331	2.75629795002723
582395.783827575	5953827.46410917	3.15105730911482
582396.471863036	5953833.89200489	2.41586213838479
582396.714766958	5953837.22756398	1.93548655421045
582397.225835873	5953843.86793833	0.162977127943914
582408.218257002	5953837.60103177	0
582407.528821178	5953882.15246621	0
582414.280531143	5953879.7493272	0.0287933803746573
582413.208326157	5953871.71917677	1.29063966804005
582412.761553996	5953870.66684434	0.736348395769575
582398.014685077	5953852.75219008	1.97180663779166
582398.586090617	5953855.73126192	1.80324468119591
582398.884301764	5953858.83470875	1.96104870951207
582373.406888164	5953842.98277034	3.21746411038267
582375.739669772	5953846.30712993	2.65102005870056
582380.22524129	5953852.74812919	1.51891624227003
582374.338972424	5953859.26392608	4.32424052584655
582368.865298952	5953854.95141626	3.86492962391566
582369.28332964	5953832.82122686	3.52041629207224
582372.241454615	5953835.49940634	3.60851884853867
582384.791973761	5953851.50903042	0.460291336745977
582378.460301479	5953873.36259769	3.61446852462103
582366.992119401	5953822.48073187	3.52264288527698
582381.345403304	5953837.25560714	2.4424041225952
582389.958019215	5953824.92888383	0.521580098755692
582400.445619607	5953836.94825213	0.696498667080415
582394.457008121	5953889.31823195	0
582390.610993834	5953889.35504524	0
582393.034123882	5953889.0510887	68.3498235064854
582393.065993447	5953889.80974077	51.6625705536682
582391.731262891	5953889.62642715	40.4491281418389
582393.313966535	5953892.51545588	62.8581151382079
582393.293597585	5953889.32936807	0.0819400061138663
582392.934563342	5953889.22186536	0
582367.746346478	5953796.49975879	2.14012301006252
582370.772813734	5953921.8871319	0.588675237590037
582368.939824784	5953907.29019901	1.75480705408494
582368.081677045	5953786.10787175	2.61732585863705
582385.698674688	5953895.36796545	5.1183642746826
582378.826499858	5953902.04425423	4.69189309635857
582376.610399978	5953904.28424887	4.81930275575936
582371.526037774	5953916.01594643	5.14358943246218
582404.896492344	5953879.85165586	0.0273053613287291
582404.853371362	5953872.39547361	1.86385813901229
582401.374213311	5953877.45760247	1.72221993893583
582395.334329546	5953885.40143835	3.04449473366836
582393.190621448	5953887.92841946	3.63619500832455
582388.602095954	5953892.43263986	4.32709714504018
582399.6841972	5953890.47058555	2.16783939717829
582401.85801532	5953888.27445127	1.79087814983099
582369.734514148	5953840.91060304	0
582374.69977974	5953843.99842353	0
582367.516255873	5953837.52070217	3.74685675397668
582379.10516859	5953909.76839054	5.58198607924643
582381.367484803	5953907.79643876	5.57865837165288
582360.828072548	5953936.04068638	0.422206645799809
582362.77013617	5953932.42210365	0.070219549775861
582365.376343176	5953928.85965725	0.940756943878753
582362.50551001	5953909.24963875	4.15725726329622
582359.151668984	5953906.86634359	4.11816676448194
582355.885818413	5953904.3709236	4.00352801299599
582353.028757165	5953951.54272702	0
582355.89464955	5953948.14287853	0
582361.967205098	5953919.68687038	3.16666127683052
582359.074653236	5953916.70809086	3.46910829911786
582353.829955843	5953951.09130466	0.0871413147245999
582364.712521792	5953930.48191413	3.83201311046105
582381.942354911	5953826.42797877	2.64834294303635
582380.502795552	5953891.32712529	4.32643696365605
582378.230304582	5953889.7100638	4.63838221255418
582370.52732874	5953883.95352007	4.6002765705568
582376.010344719	5953810.8374699	3.10962322501136
582379.167647814	5953813.48906793	2.92114755844112
582384.390802127	5953819.2302583	2.24329269471395
582387.184503891	5953896.27717381	0
582387.407772439	5953892.72451843	1.96750437848438
582384.496281026	5953896.20735083	3.69407679697499
582376.389652983	5953895.85427945	4.19768661388942
582366.134082218	5953788.34529542	0
582379.277130734	5953803.90447336	0
582382.134955764	5953806.79699968	0
582382.667855897	5953810.22171251	2.99370032081611
582373.662027355	5953801.94584669	2.32569184302694
582360.347837901	5953935.42305443	4.1993523943855
582352.047566438	5953926.28727753	3.59924897503572
582348.103517662	5953763.50885855	0.0248885600123825
582334.802098005	5953806.92437615	3.98812978466861
582333.386907184	5953799.2638291	3.56368222801636
582336.614347509	5953801.85019534	3.44194799211722
582344.981179793	5953810.87423235	3.57589728466487
582345.637460405	5953845.23572404	4.67692679638798
582329.449791131	5953787.74030446	3.09571667104896
582338.371639047	5953796.47302861	3.46796340175802
582397.257193372	5953874.19975897	0.0955274194639326
582398.612796451	5953885.49062274	0.107666590959726
582360.940795677	5953840.4749213	3.3440678271802
582355.112349564	5953834.60584129	3.57867758939378
582349.106488485	5953829.06972761	3.60901907913432
582358.775555299	5953829.03889575	3.81768067103687
582352.271198033	5953773.18900512	0
582355.938778816	5953777.21770725	0
582361.874163285	5953790.78710344	2.18446547891357
582346.988359992	5953776.0609914	1.83756614121579
582362.969648439	5953932.08598796	0
582364.826988399	5953894.07895686	4.07218976918328
582352.106572238	5953883.55048918	3.82626461188777
582348.708320106	5953881.00423353	3.60132124791365
582367.271490013	5953927.14949738	0.702617732664661
582354.404093751	5953946.70237927	0.706564928593706
582356.574806058	5953943.39829627	0.0394366076436011
582336.213947436	5953847.25689923	4.03538796906951
582329.100936227	5953840.66398094	4.02460554467144
582327.515478392	5953774.91333678	2.91898004730775
582330.632695008	5953777.70510001	2.69867222701995
582336.169752766	5953903.80754697	3.84988883850078
582329.477896713	5953898.79257543	4.14349627735427
