"X" "Y" "Yield"
582388.775713096 5953854.7340205 0.977004394286589
582386.739234966 5953859.10566559 1.52073966543559
582388.490728511 5953861.75011793 0.354553435961318
582392.347584834 5953865.82426765 0
582395.97073462 5953867.39639903 0
582400.429786073 5953868.50358628 0
582403.816407499 5953871.59280297 0.052816865520342
582403.901882304 5953876.61169365 1.02395749627775
582400.546928781 5953880.39427893 1.48434859806051
582396.105321304 5953880.07114656 2.11743348668724
582393.287203547 5953876.84663411 2.56606867926498
582390.377668886 5953872.22071069 3.16314220380572
582388.495515411 5953870.22237279 3.38590186164831
582387.24225329 5953855.03563714 0.0215168044015633
582391.422647666 5953860.49924082 0
582393.101474717 5953864.29313498 0
582394.628340103 5953868.11128763 0
582397.379200601 5953871.27440814 0
582400.009764817 5953874.71485687 0.0198082482958145
582402.313100911 5953879.35353721 0.412720671640582
582400.474586323 5953884.02535903 1.12609660743443
582396.459955548 5953885.69035592 1.87826240481759
582392.946765708 5953884.355064 2.26258292354677
582389.971197926 5953882.05381927 2.62701825413929
582386.607697362 5953843.3908803 0.565505092687876
582389.365719579 5953848.26786404 0
582395.154541057 5953863.96584001 0
582396.592394578 5953867.60342098 0
582398.127699847 5953871.63982136 0
582399.280239547 5953875.47487331 0
582400.372513667 5953879.71690413 0.0263215281131545
582400.076120196 5953883.83324957 0.535008284219722
582398.541717553 5953888.11744423 1.24262360369809
582395.082913524 5953891.11948565 2.18037513692571
582390.81293923 5953891.2918932 3.12329984354036
582387.543194793 5953832.26005634 2.76339032437566
582389.982650268 5953835.84453418 2.66237435145422
582390.506582938 5953839.82666603 2.42267112431553
582390.478029237 5953844.17439103 2.09735597045328
582390.965734298 5953848.37432377 1.75767740547068
582391.35743318 5953852.48780633 1.46512917666818
582391.989534131 5953856.36989198 1.47376840448602
582392.712292463 5953860.36259685 1.21441109021639
582389.73013989 5953889.77627585 0
582393.228536315 5953888.22266774 2.81697651450386
582392.336339128 5953887.53868069 1.1112391090876
582390.074288988 5953889.62233804 1.00163393184141
582386.569015791 5953810.18712973 0
582390.031075967 5953812.45427869 0
582392.298112188 5953813.90513016 0
582396.859797851 5953814.60434761 0
582400.462138713 5953820.38203141 0
582395.824388495 5953832.37861708 0
582398.638496172 5953835.53679072 0
582402.822394574 5953836.89120397 0
582405.01773246 5953824.09145113 1.88798793611658
582400.786135355 5953824.1204734 2.57830344874409
582396.928981724 5953824.03185829 2.94619141304173
582392.990368814 5953822.63978614 2.70323082585843
582389.798140994 5953819.90996775 2.7093384542057
582387.913476469 5953816.45010917 3.15491131360473
582385.359757499 5953813.30491377 3.07707833842003
582385.764598591 5953804.98010316 3.57201074256228
582387.708496366 5953807.55320708 3.1409238350924
582389.814676446 5953809.95344459 3.15519992428123
582392.160680365 5953812.30463187 3.31491367208128
582393.969265225 5953814.94199712 2.99675353447315
582395.53815354 5953817.81918331 2.75629795002723
582396.094203887 5953821.13759553 2.95278537399673
582395.848968453 5953824.24374253 2.96986569499051
582395.783827575 5953827.46410917 3.15105730911482
582395.83559732 5953830.80705978 2.77834940922069
582396.471863036 5953833.89200489 2.41586213838479
582396.714766958 5953837.22756398 1.93548655421045
582396.708428749 5953840.55360037 1.28693849596508
582397.225835873 5953843.86793833 0.162977127943914
582397.535919093 5953846.86366748 0
582395.514126186 5953849.9246489 0
582399.270647026 5953849.88868963 0
