x	y	CE30	CE90	Elev	Pe	Tg
312432.78	5800234.17	25.808096575974	28.5074144245109	160.414217856353	-78.0753310719468	3.73402957383564
312422.78	5800244.17	26.1911695269125	28.1462339340373	160.416397196114	-77.2114990790513	3.73133438980101
312432.78	5800244.17	25.2626633134352	27.9566435590875	160.428600527261	-78.6595237063176	3.72586566503023
312412.78	5800254.17	26.282536840237	27.5687342690732	160.418367859568	-75.9387328043263	3.72774777536708
312422.78	5800254.17	25.6863068065691	27.4860274294041	160.427540153876	-76.895773671796	3.71530910013761
312432.78	5800254.17	24.8234725751478	27.2678140519306	160.437884184488	-78.0412191696183	3.70056967277943
312442.78	5800254.17	23.8919201594451	26.8990616840121	160.449044840253	-78.7094515263388	3.68949144735295
312402.78	5800264.17	25.7547042091943	26.7669291874463	160.407857499652	-75.6159385397999	3.72785989671134
312412.78	5800264.17	25.6248971087812	26.8959243907093	160.424442016192	-75.5033704335326	3.71238113185804
312422.78	5800264.17	25.2330308438187	26.7535210479746	160.433952254796	-76.3156572674806	3.69030552302393
312432.78	5800264.17	24.5325835705329	26.5657912362342	160.442910653118	-77.1738968123404	3.67108475930117
312442.78	5800264.17	23.8154850284265	26.2756233502131	160.454010179538	-77.8031396290141	3.66156351067326
312452.78	5800264.17	23.1714819964281	25.9071229016532	160.464926028128	-78.1639623418756	3.66188015148053
312392.78	5800274.17	24.6080696571136	26.2691422784344	160.389981046052	-77.4781623257483	3.73140425901437
312402.78	5800274.17	24.9271838787249	26.4015194094724	160.410215694568	-76.3332647813284	3.71831686927733
312412.78	5800274.17	24.9017668181397	26.3743581551649	160.426863312759	-75.7426280091307	3.6942823441967
312422.78	5800274.17	24.6409727059434	26.1975042877287	160.438324943232	-76.0191177789671	3.66941071543327
312432.78	5800274.17	24.1704623950994	26.0101430152628	160.446229492773	-76.5202568519088	3.65128582022271
312442.78	5800274.17	23.6828797732532	25.7611810579859	160.459155390098	-77.2023448622074	3.64222112186129
312452.78	5800274.17	23.1930966937682	25.4659142538504	160.47073446522	-78.0414783278196	3.6432850806866
312462.78	5800274.17	22.5276344055004	25.215115743329	160.478605291051	-79.2614585741596	3.65555410737538
312382.78	5800284.17	22.9151516790499	26.2079550145797	160.368789549643	-80.5874390777334	3.73571048972679
312392.78	5800284.17	23.3564289493571	26.1949129335371	160.394048000098	-78.983801913311	3.73071272041282
312402.78	5800284.17	23.9305673427616	26.1546072096183	160.412169731615	-77.5164698989728	3.71245816475459
312412.78	5800284.17	24.0783364133648	26.0132603312895	160.42892825681	-76.5232089610396	3.68483602098318
312422.78	5800284.17	23.9774410962174	25.8251540897136	160.444398479958	-76.1011857224021	3.65820913739442
312432.78	5800284.17	23.7605710517654	25.606544459534	160.455973845032	-76.1076418438474	3.63871650586111
312442.78	5800284.17	23.5494201616184	25.3947365967739	160.469914701461	-76.8907623541411	3.62769257488958
312452.78	5800284.17	23.2844232307773	25.2381792229011	160.481591101041	-78.5621220179961	3.62731552928258
312462.78	5800284.17	22.7262042577346	25.1344057092541	160.488463593554	-80.8756116964619	3.64051851188459
312472.78	5800284.17	21.7939530220881	24.9786600954858	160.493482924853	-83.7431696736177	3.66940316611225
312372.78	5800294.17	21.4845435179309	26.1425631307246	160.36227669589	-84.7332389646535	3.73901769338307
312382.78	5800294.17	21.6362302200335	26.1583871393596	160.384235127742	-82.6255680435107	3.74279530754883
312392.78	5800294.17	22.0201598260097	26.0668553577773	160.403488460562	-80.5141099159344	3.73668466807276
312402.78	5800294.17	22.6700378480399	25.8864184131869	160.416839388043	-78.646727330401	3.71269091460809
312412.78	5800294.17	23.1011404565159	25.685082880999	160.432296602955	-77.248333506922	3.67969623978978
312422.78	5800294.17	23.3756360098417	25.5483940725793	160.453250346384	-76.432062163661	3.65083357966827
312432.78	5800294.17	23.5687974801188	25.3816393031801	160.47147692606	-76.0893396749154	3.62848060212264
312442.78	5800294.17	23.6630670440959	25.1996354968688	160.487454850695	-76.8370331977794	3.61383556768594
312452.78	5800294.17	23.558102064448	25.1268650862315	160.498652841388	-79.1336994209407	3.60955814160658
312462.78	5800294.17	23.019327797528	25.1501517796841	160.503976763427	-81.9955259321064	3.62010850934036
312472.78	5800294.17	22.0453721481453	25.0985710928723	160.505386086356	-85.5453774609286	3.65078169070259
312482.78	5800294.17	20.9230319277494	24.9467837386012	160.506837923468	-89.1397335255742	3.70454941824475
312362.78	5800304.17	20.6802695429259	26.0854990931355	160.383149096314	-89.6940162482804	3.73928489260397
312372.78	5800304.17	20.7421356491533	26.004087037654	160.395268993365	-87.2893223397128	3.74883002188713
312382.78	5800304.17	20.887837269544	25.9360428321965	160.410750200266	-84.474752132881	3.75232290739106
312392.78	5800304.17	21.1421883804106	25.8386729117879	160.425355537906	-81.8902519872558	3.74139758022845
312402.78	5800304.17	21.7420186855499	25.5949365006105	160.433018476359	-79.5976337177612	3.71085418099154
312412.78	5800304.17	22.402920670604	25.4252076426729	160.44725688113	-77.8379620248547	3.67462771853647
312422.78	5800304.17	22.9863732267724	25.3908382815951	160.470669182221	-77.0464612008351	3.64289786395244
312432.78	5800304.17	23.5302108039204	25.2960395846459	160.490796337935	-77.0483244864367	3.6161230847201
312442.78	5800304.17	23.8769360352749	25.2139864018277	160.50874584406	-77.893226502865	3.59513606340027
312452.78	5800304.17	23.9990782349869	25.204174782866	160.519857166061	-79.7106685620069	3.58316005337714
312462.78	5800304.17	23.5366474043368	25.3341416001192	160.523553026114	-82.2817954342557	3.58716413538373
