x y Yield
-59.130687 -37.918002 1.240000
-59.131825 -37.920825 1.241000
-59.126712 -37.919764 1.248000
-59.137527 -37.923520 1.251000
-59.138947 -37.921075 1.262000
-59.135547 -37.925019 1.272000
-59.131865 -37.920854 1.276000
-59.129199 -37.920164 1.287000
-59.137726 -37.921350 1.295000
-59.129714 -37.920162 1.295000
-59.139469 -37.922729 1.298000
-59.130914 -37.919399 1.302000
-59.126220 -37.921115 1.314000
-59.126197 -37.920340 1.320000
-59.127560 -37.920147 1.322000
-59.135302 -37.919719 1.324000
-59.125554 -37.920360 1.330000
-59.135586 -37.926790 1.332000
-59.125775 -37.920177 1.336000
-59.131034 -37.918252 1.356000
-59.132259 -37.921197 1.359000
-59.138954 -37.920750 1.381000
-59.140691 -37.922419 1.391000
-59.138186 -37.923370 1.394000
-59.134842 -37.921374 1.400000
-59.135209 -37.919235 1.413000
-59.131530 -37.924902 1.458000
-59.131067 -37.918535 1.466000
-59.135519 -37.925797 1.469000
-59.130835 -37.917615 1.470000
-59.129744 -37.923622 1.480000
-59.131024 -37.918017 1.482000
-59.139859 -37.922679 1.492000
-59.137614 -37.923625 1.522000
-59.135671 -37.919602 1.522000
-59.133431 -37.917442 1.539000
-59.125775 -37.920149 1.540000
-59.126327 -37.921190 1.544000
-59.135471 -37.919544 1.548000
-59.139011 -37.920800 1.552000
-59.130932 -37.917782 1.562000
-59.138987 -37.920779 1.564000
-59.136962 -37.920265 1.566000
-59.130737 -37.917965 1.571000
-59.126309 -37.921087 1.572000
-59.139526 -37.922774 1.579000
-59.125884 -37.920184 1.590000
-59.134142 -37.920054 1.594000
-59.137799 -37.921042 1.597000
-59.131460 -37.924852 1.598000
-59.131742 -37.920762 1.600000
-59.139819 -37.923009 1.607000
-59.130930 -37.917719 1.609000
-59.140274 -37.921865 1.617000
-59.137932 -37.923344 1.622000
-59.132827 -37.923299 1.633000
-59.139737 -37.921462 1.644000
-59.138122 -37.921124 1.659000
-59.126175 -37.920325 1.663000
-59.139959 -37.921847 1.673000
-59.139096 -37.923365 1.679000
-59.137189 -37.920442 1.685000
-59.136824 -37.925804 1.705000
-59.137019 -37.920309 1.712000
-59.133549 -37.917534 1.712000
-59.129614 -37.919337 1.719000
-59.136829 -37.925999 1.721000
-59.134387 -37.926935 1.721000
-59.139026 -37.920839 1.732000
-59.125577 -37.920229 1.734000
-59.136502 -37.926097 1.752000
-59.132307 -37.915610 1.760000
-59.129650 -37.921377 1.764000
-59.137131 -37.920399 1.766000
-59.139289 -37.922402 1.778000
-59.133094 -37.921752 1.784000
-59.126185 -37.921092 1.785000
-59.135537 -37.927144 1.787000
-59.129692 -37.923585 1.788000
-59.135526 -37.927157 1.790000
-59.138851 -37.923377 1.795000
-59.139711 -37.921492 1.800000
-59.131699 -37.920730 1.804000
-59.133997 -37.916965 1.808000
-59.134596 -37.926977 1.810000
-59.137497 -37.921159 1.810000
-59.136542 -37.925839 1.818000
-59.126684 -37.919595 1.819000
-59.138881 -37.920689 1.824000
-59.125622 -37.920197 1.841000
-59.138186 -37.921165 1.847000
-59.134246 -37.926835 1.850000
-59.134446 -37.926977 1.852000
-59.131875 -37.916178 1.858000
-59.132809 -37.925815 1.859000
-59.126115 -37.920290 1.860000
-59.136907 -37.920225 1.867000
-59.137361 -37.919467 1.868000
-59.137244 -37.920485 1.876000
-59.132835 -37.919294 1.880000
-59.136079 -37.919552 1.886000
-59.134132 -37.926754 1.899000
-59.136819 -37.919464 1.900000
-59.133852 -37.917780 1.901000
-59.129919 -37.921620 1.901000
-59.135252 -37.919364 1.902000
-59.130904 -37.918180 1.908000
-59.139251 -37.922372 1.912000
-59.136041 -37.919330 1.917000
-59.138027 -37.921235 1.923000
-59.139352 -37.922632 1.927000
-59.134196 -37.926800 1.929000
-59.133916 -37.917829 1.930000
-59.134624 -37.921105 1.930000
-59.137527 -37.921092 1.934000
-59.131010 -37.918199 1.936000
-59.139159 -37.920909 1.943000
-59.137594 -37.923275 1.949000
-59.129799 -37.923659 1.953000
-59.134122 -37.917790 1.957000
-59.139412 -37.922680 1.957000
-59.139749 -37.921425 1.957000
-59.137992 -37.921047 1.962000
-59.134589 -37.918842 1.974000
-59.136721 -37.926084 1.976000
-59.137972 -37.921185 1.976000
-59.135434 -37.927255 1.982000
-59.131422 -37.924829 1.983000
-59.126092 -37.920412 2.004000
-59.134831 -37.918552 2.008000
-59.140704 -37.922555 2.015000
-59.134297 -37.926872 2.017000
-59.131352 -37.924779 2.030000
-59.134587 -37.918362 2.034000
-59.137632 -37.923304 2.036000
-59.135659 -37.924972 2.036000
-59.126654 -37.919807 2.044000
-59.135891 -37.919504 2.047000
-59.137569 -37.923667 2.055000
-59.139339 -37.923364 2.056000
-59.137554 -37.921205 2.072000
-59.134772 -37.918504 2.083000
-59.132257 -37.920530 2.088000
-59.132960 -37.921690 2.089000
-59.139426 -37.921895 2.090000
-59.139204 -37.920944 2.092000
-59.129640 -37.923549 2.094000
-59.137414 -37.919509 2.095000
-59.129567 -37.923499 2.096000
-59.127089 -37.919689 2.096000
-59.131564 -37.924929 2.103000
-59.137074 -37.920354 2.104000
-59.132299 -37.916512 2.104000
-59.138309 -37.921249 2.107000
-59.138694 -37.920710 2.116000
-59.135511 -37.925162 2.120000
-59.132340 -37.915782 2.121000
-59.134652 -37.918409 2.123000
-59.134102 -37.917050 2.126000
-59.134529 -37.918792 2.132000
-59.137304 -37.920532 2.140000
-59.136594 -37.925792 2.140000
-59.133977 -37.917879 2.144000
-59.132189 -37.916585 2.145000
-59.127502 -37.920517 2.147000
-59.137591 -37.921140 2.149000
-59.134016 -37.917227 2.150000
-59.133102 -37.921800 2.152000
-59.133079 -37.926010 2.156000
-59.127322 -37.921907 2.162000
-59.128892 -37.920114 2.163000
-59.136369 -37.920257 2.163000
-59.132357 -37.916562 2.163000
-59.132027 -37.920342 2.164000
-59.137769 -37.921287 2.170000
-59.126167 -37.919837 2.171000
-59.136219 -37.919470 2.184000
-59.134347 -37.926907 2.194000
-59.134069 -37.917269 2.194000
-59.135477 -37.925754 2.196000
-59.126745 -37.919550 2.197000
-59.134047 -37.917007 2.200000
-59.133962 -37.917184 2.202000
-59.135712 -37.919372 2.207000
-59.131635 -37.924979 2.209000
-59.130952 -37.918140 2.218000
-59.140752 -37.922252 2.220000
-59.132165 -37.915532 2.221000
-59.133225 -37.916588 2.222000
-59.136182 -37.919189 2.224000
-59.133909 -37.917142 2.227000
-59.132275 -37.916312 2.232000
-59.134539 -37.926942 2.235000
-59.126397 -37.921240 2.235000
-59.135481 -37.925009 2.238000
-59.125572 -37.920459 2.242000
-59.134714 -37.918455 2.242000
-59.135612 -37.919689 2.244000
-59.129465 -37.923424 2.245000
-59.138751 -37.920587 2.249000
-59.139481 -37.921940 2.255000
-59.130687 -37.924309 2.257000
-59.126825 -37.919674 2.259000
-59.127907 -37.919065 2.260000
-59.140259 -37.922460 2.267000
-59.134124 -37.917309 2.267000
-59.132050 -37.925279 2.271000
-59.131939 -37.925199 2.272000
-59.132014 -37.925252 2.273000
-59.136492 -37.925884 2.280000
-59.132867 -37.925857 2.280000
-59.132419 -37.916610 2.281000
-59.137197 -37.919339 2.284000
-59.139581 -37.921640 2.287000
-59.125440 -37.920552 2.289000
-59.127840 -37.920762 2.289000
-59.129849 -37.923695 2.292000
-59.127035 -37.919729 2.293000
-59.126480 -37.920805 2.294000
-59.139304 -37.922889 2.294000
-59.135462 -37.925165 2.295000
-59.134889 -37.918599 2.302000
-59.134094 -37.920014 2.303000
-59.129902 -37.923735 2.304000
-59.127715 -37.919205 2.305000
-59.138701 -37.920549 2.305000
-59.130875 -37.924134 2.306000
-59.134181 -37.917837 2.307000
-59.134036 -37.917929 2.307000
-59.137027 -37.919207 2.309000
-59.132532 -37.916027 2.310000
-59.133197 -37.917637 2.310000
-59.131689 -37.925019 2.313000
-59.126154 -37.920312 2.314000
-59.132235 -37.916467 2.315000
-59.137276 -37.923540 2.323000
-59.132779 -37.925797 2.324000
-59.130040 -37.923834 2.324000
-59.127445 -37.920477 2.325000
-59.130005 -37.923810 2.325000
